RaceYear,GrandPrix,SessionType,Driver,LapNumber,LapTime,Compound,Stint
2023,Monaco,R,VER,1.0,84.238,MEDIUM,1.0
2023,Monaco,R,VER,2.0,79.367,MEDIUM,1.0
2023,Monaco,R,VER,3.0,79.074,MEDIUM,1.0
2023,Monaco,R,VER,4.0,78.129,MEDIUM,1.0
2023,Monaco,R,VER,5.0,78.019,MEDIUM,1.0
2023,Monaco,R,VER,6.0,77.64,MEDIUM,1.0
2023,Monaco,R,VER,7.0,77.633,MEDIUM,1.0
2023,Monaco,R,VER,8.0,77.397,MEDIUM,1.0
2023,Monaco,R,VER,9.0,77.031,MEDIUM,1.0
2023,Monaco,R,VER,10.0,77.084,MEDIUM,1.0
2023,Monaco,R,VER,11.0,76.858,MEDIUM,1.0
2023,Monaco,R,VER,12.0,76.993,MEDIUM,1.0
2023,Monaco,R,VER,13.0,77.434,MEDIUM,1.0
2023,Monaco,R,VER,14.0,77.065,MEDIUM,1.0
2023,Monaco,R,VER,15.0,77.079,MEDIUM,1.0
2023,Monaco,R,VER,16.0,76.824,MEDIUM,1.0
2023,Monaco,R,VER,17.0,76.86,MEDIUM,1.0
2023,Monaco,R,VER,18.0,76.712,MEDIUM,1.0
2023,Monaco,R,VER,19.0,76.823,MEDIUM,1.0
2023,Monaco,R,VER,20.0,77.214,MEDIUM,1.0
2023,Monaco,R,VER,21.0,76.803,MEDIUM,1.0
2023,Monaco,R,VER,22.0,76.659,MEDIUM,1.0
2023,Monaco,R,VER,23.0,76.604,MEDIUM,1.0
2023,Monaco,R,VER,24.0,76.798,MEDIUM,1.0
2023,Monaco,R,VER,25.0,77.183,MEDIUM,1.0
2023,Monaco,R,VER,26.0,77.212,MEDIUM,1.0
2023,Monaco,R,VER,27.0,77.259,MEDIUM,1.0
2023,Monaco,R,VER,28.0,77.77,MEDIUM,1.0
2023,Monaco,R,VER,29.0,78.001,MEDIUM,1.0
2023,Monaco,R,VER,30.0,78.16,MEDIUM,1.0
2023,Monaco,R,VER,31.0,78.741,MEDIUM,1.0
2023,Monaco,R,VER,32.0,78.816,MEDIUM,1.0
2023,Monaco,R,VER,33.0,78.946,MEDIUM,1.0
2023,Monaco,R,VER,34.0,78.044,MEDIUM,1.0
2023,Monaco,R,VER,35.0,78.024,MEDIUM,1.0
2023,Monaco,R,VER,36.0,77.974,MEDIUM,1.0
2023,Monaco,R,VER,37.0,77.273,MEDIUM,1.0
2023,Monaco,R,VER,38.0,77.122,MEDIUM,1.0
2023,Monaco,R,VER,39.0,76.966,MEDIUM,1.0
2023,Monaco,R,VER,40.0,77.161,MEDIUM,1.0
2023,Monaco,R,VER,41.0,76.944,MEDIUM,1.0
2023,Monaco,R,VER,42.0,76.8,MEDIUM,1.0
2023,Monaco,R,VER,43.0,76.963,MEDIUM,1.0
2023,Monaco,R,VER,44.0,76.722,MEDIUM,1.0
2023,Monaco,R,VER,45.0,76.701,MEDIUM,1.0
2023,Monaco,R,VER,46.0,77.075,MEDIUM,1.0
2023,Monaco,R,VER,47.0,77.16,MEDIUM,1.0
2023,Monaco,R,VER,48.0,77.065,MEDIUM,1.0
2023,Monaco,R,VER,49.0,77.428,MEDIUM,1.0
2023,Monaco,R,VER,50.0,77.314,MEDIUM,1.0
2023,Monaco,R,VER,51.0,77.427,MEDIUM,1.0
2023,Monaco,R,VER,52.0,84.046,MEDIUM,1.0
2023,Monaco,R,VER,53.0,89.919,MEDIUM,1.0
2023,Monaco,R,VER,54.0,98.946,MEDIUM,1.0
2023,Monaco,R,VER,55.0,130.567,MEDIUM,1.0
2023,Monaco,R,VER,56.0,106.131,INTERMEDIATE,2.0
2023,Monaco,R,VER,57.0,103.464,INTERMEDIATE,2.0
2023,Monaco,R,VER,58.0,102.808,INTERMEDIATE,2.0
2023,Monaco,R,VER,59.0,103.791,INTERMEDIATE,2.0
2023,Monaco,R,VER,60.0,101.54,INTERMEDIATE,2.0
2023,Monaco,R,VER,61.0,100.797,INTERMEDIATE,2.0
2023,Monaco,R,VER,62.0,99.272,INTERMEDIATE,2.0
2023,Monaco,R,VER,63.0,99.61,INTERMEDIATE,2.0
2023,Monaco,R,VER,64.0,98.364,INTERMEDIATE,2.0
2023,Monaco,R,VER,65.0,97.16,INTERMEDIATE,2.0
2023,Monaco,R,VER,66.0,94.035,INTERMEDIATE,2.0
2023,Monaco,R,VER,67.0,92.921,INTERMEDIATE,2.0
2023,Monaco,R,VER,68.0,93.659,INTERMEDIATE,2.0
2023,Monaco,R,VER,69.0,91.607,INTERMEDIATE,2.0
2023,Monaco,R,VER,70.0,91.244,INTERMEDIATE,2.0
2023,Monaco,R,VER,71.0,90.363,INTERMEDIATE,2.0
2023,Monaco,R,VER,72.0,90.402,INTERMEDIATE,2.0
2023,Monaco,R,VER,73.0,88.386,INTERMEDIATE,2.0
2023,Monaco,R,VER,74.0,86.864,INTERMEDIATE,2.0
2023,Monaco,R,VER,75.0,85.518,INTERMEDIATE,2.0
2023,Monaco,R,VER,76.0,85.316,INTERMEDIATE,2.0
2023,Monaco,R,VER,77.0,85.46,INTERMEDIATE,2.0
2023,Monaco,R,VER,78.0,85.201,INTERMEDIATE,2.0
2023,Monaco,R,GAS,1.0,89.701,HARD,1.0
2023,Monaco,R,GAS,2.0,80.636,HARD,1.0
2023,Monaco,R,GAS,3.0,80.282,HARD,1.0
2023,Monaco,R,GAS,4.0,79.577,HARD,1.0
2023,Monaco,R,GAS,5.0,78.893,HARD,1.0
2023,Monaco,R,GAS,6.0,78.842,HARD,1.0
2023,Monaco,R,GAS,7.0,78.604,HARD,1.0
2023,Monaco,R,GAS,8.0,79.317,HARD,1.0
2023,Monaco,R,GAS,9.0,78.788,HARD,1.0
2023,Monaco,R,GAS,10.0,78.31,HARD,1.0
2023,Monaco,R,GAS,11.0,78.367,HARD,1.0
2023,Monaco,R,GAS,12.0,78.582,HARD,1.0
2023,Monaco,R,GAS,13.0,77.713,HARD,1.0
2023,Monaco,R,GAS,14.0,78.564,HARD,1.0
2023,Monaco,R,GAS,15.0,78.284,HARD,1.0
2023,Monaco,R,GAS,16.0,78.298,HARD,1.0
2023,Monaco,R,GAS,17.0,77.99,HARD,1.0
2023,Monaco,R,GAS,18.0,78.453,HARD,1.0
